iter	Passed	Remaining
0	2	468
1	2	274
2	3	213
3	3	170
4	3	149
5	5	165
6	5	158
7	6	151
8	6	137
9	7	137
10	7	136
11	8	137
12	9	135
13	11	151
14	12	148
15	13	154
16	14	156
17	15	158
18	16	155
19	18	168
20	19	167
21	21	175
22	22	175
23	23	174
24	24	172
25	25	171
26	26	169
27	27	167
28	27	163
29	28	160
30	28	157
31	29	154
32	30	152
33	33	163
34	34	160
35	34	158
36	35	156
37	36	153
38	36	150
39	36	147
40	37	145
41	38	144
42	39	142
43	40	141
44	40	140
45	41	139
46	42	138
47	43	137
48	44	136
49	44	134
50	45	133
51	46	132
52	47	131
53	48	131
54	49	130
55	50	128
56	50	126
57	51	125
58	52	124
59	52	122
60	53	121
61	53	120
62	54	119
63	55	117
64	56	116
65	56	115
66	58	115
67	58	114
68	59	113
69	60	112
70	61	112
71	62	111
72	63	110
73	63	108
74	64	107
75	65	106
76	66	105
77	67	105
78	68	104
79	69	104
80	70	103
81	70	102
82	71	100
83	72	100
84	74	100
85	75	99
86	76	99
87	76	97
88	77	97
89	78	96
90	79	95
91	80	94
92	81	93
93	81	92
94	82	91
95	83	90
96	84	90
97	85	89
98	86	88
99	87	87
100	87	86
101	89	85
102	89	84
103	90	83
104	91	82
105	91	81
106	92	80
107	93	79
108	95	79
109	96	78
110	97	77
111	97	76
112	98	75
113	99	74
114	100	74
115	100	73
116	101	71
117	103	71
118	104	71
119	105	70
120	105	68
121	106	67
122	106	66
123	107	65
124	107	64
125	108	63
126	108	62
127	109	61
128	111	61
129	112	60
130	113	59
131	114	58
132	114	57
133	115	56
134	116	56
135	117	55
136	118	54
137	118	53
138	118	52
139	119	51
140	119	50
141	120	49
142	120	48
143	121	47
144	123	46
145	124	46
146	125	45
147	125	44
148	126	43
149	127	42
150	127	41
151	128	40
152	128	39
153	129	38
154	129	37
155	131	36
156	133	36
157	134	35
158	134	34
159	135	33
160	135	32
161	136	32
162	137	31
163	138	30
164	139	29
165	141	29
166	142	28
167	143	27
168	143	26
169	144	25
170	145	24
171	148	24
172	151	23
173	152	22
174	152	21
175	153	20
176	153	20
177	154	19
178	155	18
179	156	17
180	156	16
181	157	15
182	158	14
183	159	13
184	160	12
185	160	12
186	161	11
187	163	10
188	163	9
189	164	8
190	164	7
191	166	6
192	166	6
193	168	5
194	169	4
195	170	3
196	172	2
197	173	1
198	174	0
199	175	0
