id,pattern_file,s11_file,substrate_thickness,substrate_permittivity,patch_width,patch_length,feed_position,bending_radius,gain,sar,efficiency,ism_band
0,pattern_0000.h5,s11_0000.csv,0.7069096347291408,2.7171024469590157,42.78154995863398,49.77570830486384,7.9456945139617305,21.07139724182938,3.426869963995534,0.7668023238645879,58.25863266588403,2.4GHz
1,pattern_0001.h5,s11_0001.csv,2.0786815320147065,1.9915068394697446,30.241021967914474,36.59396753781807,14.472761979499474,26.181593545121867,3.9031024736129436,0.5949322838961829,57.046814847812726,2.4GHz
2,pattern_0002.h5,s11_0002.csv,2.715987629590594,3.1681419840314975,42.31819506240937,34.56310810335539,13.122322175047259,12.10653896399095,3.940729824648528,0.5,71.43803467381609,2.4GHz
3,pattern_0003.h5,s11_0003.csv,1.3399430216448605,3.2373779144099135,39.64751614016074,48.64764430410724,12.26054947836195,10.35853820772928,2.5622908560302777,0.71747634586288,62.85787836083278,2.4GHz
4,pattern_0004.h5,s11_0004.csv,0.5332526491416901,2.2283894086398623,41.954538378167804,36.31589516253216,14.055919363589537,17.42931248361565,4.467637943034854,0.957178028160155,79.31924177104742,2.4GHz
5,pattern_0005.h5,s11_0005.csv,2.7809053892313433,2.4479367573026307,43.307296999132696,49.01700367618631,12.679560191346155,16.951341939738768,3.8710723931548725,0.5,69.71689374901004,2.4GHz
6,pattern_0006.h5,s11_0006.csv,2.9333944467771134,1.6055383169442852,40.64520781449628,35.61607669859526,11.614512547976329,25.079186939501977,3.2862838003683366,0.5,56.60216850333626,2.4GHz
7,pattern_0007.h5,s11_0007.csv,1.4169046186995495,2.0191876850185944,32.98055296009412,37.31623951962285,6.779976192161174,22.714156694507565,4.1364776056725265,0.8040652951235991,64.96184560661524,2.4GHz
8,pattern_0008.h5,s11_0008.csv,1.6274459464581197,3.1507749902955275,37.90536945434524,45.92060448580643,12.92099856251527,19.009349665494376,3.4039301244047864,0.7620399566086472,61.89781777992778,2.4GHz
9,pattern_0009.h5,s11_0009.csv,2.1752177433372366,2.0188416745361337,39.70028087992856,44.000997613026314,13.217200988045345,12.445420203886355,4.571369237503619,0.5055442049845968,77.33125831822623,2.4GHz
10,pattern_0010.h5,s11_0010.csv,2.1654445148100305,2.6638303252804416,33.35552691494997,41.88160655842418,13.167285672247127,23.64422305628869,4.032736543828892,0.5420675923275845,66.05279466480935,2.4GHz
11,pattern_0011.h5,s11_0011.csv,2.98040033098715,2.3253069655751206,48.210461961649756,48.266809498218976,10.73847347332825,23.16836204435461,4.236632028389037,0.5,67.88313989344125,2.4GHz
