frequency,s11
2.2,-14.566687253909443
2.204,-14.629373472196942
2.208,-15.054985100286656
2.212,-15.679288955430868
2.216,-16.048158909424462
2.22,-17.003350177955337
2.224,-17.942874724044486
2.228,-18.10562155958514
2.232,-17.96723986683064
2.236,-18.402419486221028
2.24,-18.244985105941627
2.244,-18.30763348256478
2.248,-19.24226981378646
2.2520000000000002,-19.077786695139405
2.2560000000000002,-18.880754602595882
2.2600000000000002,-18.35088992887629
2.2640000000000002,-18.929113944627034
2.2680000000000002,-19.650476449750816
2.2720000000000002,-19.686299112903868
2.2760000000000002,-20.938740987532515
2.2800000000000002,-20.687688760261345
2.2840000000000003,-20.303924362470347
2.2880000000000003,-20.75190239509572
2.2920000000000003,-21.086149522651567
2.2960000000000003,-19.414133890128085
2.3000000000000003,-20.319549146529035
2.3040000000000003,-18.677264187311867
2.3080000000000003,-19.987949052531516
2.3120000000000003,-20.396139030712586
2.3160000000000003,-19.718603730973637
2.3200000000000003,-20.04041567580875
2.3240000000000003,-20.43755969528966
2.3280000000000003,-20.469537283203106
2.3320000000000003,-20.979982326749486
2.3360000000000003,-21.07023944076334
2.3400000000000003,-21.838071872397943
2.3440000000000003,-23.049748073338897
2.3480000000000003,-24.451319958947455
2.3520000000000003,-23.44868739563014
2.3560000000000003,-24.02145206576651
2.3600000000000003,-23.433750978551615
2.3640000000000003,-23.631018025623867
2.3680000000000003,-22.191195337625842
2.3720000000000003,-21.578482020081275
2.3760000000000003,-22.686849810784516
2.3800000000000003,-21.79084995117686
2.3840000000000003,-22.746898049274503
2.3880000000000003,-22.17709691709092
2.3920000000000003,-23.10419010085574
2.396,-22.812669517644537
2.4000000000000004,-23.63271480509637
2.404,-22.807858806308747
2.4080000000000004,-23.1046834942965
2.412,-23.382720193900415
2.4160000000000004,-23.721233010121765
2.42,-23.34179553834354
2.424,-23.512419915344662
2.428,-23.259976439813318
2.432,-22.426301770517952
2.436,-24.15799844254338
2.44,-24.19167591952107
2.444,-22.669582075111478
2.448,-22.520180826588746
2.452,-22.41952741360406
2.456,-22.935525944490525
2.46,-22.93312292855194
2.464,-22.835942808558475
2.468,-22.106955275745893
2.472,-21.987706641110172
2.476,-22.165495641139145
2.48,-23.25470486364174
2.484,-21.878488193477864
2.488,-22.533985241556525
2.492,-22.391085440602026
2.496,-22.117047096129674
2.5,-21.95993782316462
2.504,-22.213906394430722
2.508,-22.272842302614208
2.512,-22.450400242556174
2.516,-22.867397940982098
2.52,-21.961486509241162
2.524,-21.863187933168525
2.528,-22.486483473249926
2.532,-21.584287257667146
2.536,-21.53970416955655
2.54,-21.60859414469842
2.544,-22.520348111643347
2.548,-21.775841267788884
2.552,-21.421779332210555
2.556,-22.099110711399153
2.56,-20.939833321768255
2.564,-22.142943423476094
2.568,-21.297160044109734
2.572,-21.96244502587849
2.576,-22.02848670889566
2.58,-21.63769113376553
2.584,-21.10357640786612
2.588,-20.947971026773377
2.592,-21.00534957339281
2.596,-21.37615258109649
2.6,-21.65337353398711
